232.658 xcp_udp:../genio/genio/file.cpp(35): open /fl/Lr0_5501 No such file or directory
232.658 xcp_udp:../xcp/e7.cpp(148): ERR errno=2 
232.709 xcp_udp:../stream/execute.cpp(432): log_erase 0
487.782 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
488.782 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
489.782 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
490.802 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
491.802 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
492.802 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
493.822 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
494.822 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
495.842 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
496.842 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
497.842 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
498.862 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
499.862 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
500.882 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
501.902 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
502.922 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
503.942 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
504.942 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
505.962 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
506.982 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
508.002 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
509.022 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
510.042 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
511.062 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
512.062 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
513.082 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
514.082 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
515.082 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
516.082 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
517.102 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
518.102 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
519.122 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
520.142 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
521.142 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
522.162 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
523.182 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
524.182 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
525.202 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
526.202 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
527.202 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
528.222 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
529.242 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
530.242 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
531.262 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
532.282 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
533.302 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
534.322 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
535.342 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
536.362 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
537.382 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
538.402 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
539.402 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
540.402 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
541.422 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
542.422 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
543.442 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
544.462 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
545.462 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
546.482 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
547.482 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
548.482 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
549.502 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
550.522 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
